Lead (mg/L),Red Value,Green Value,Blue Value,Orange Intensity,Absorbance
0.0,100,100,150,350,0.0
1e-06,100,100,150,350,0.0
2e-06,100,100,150,350,0.0
3e-06,100,100,150,350,0.0
4e-06,100,100,150,350,0.0
5e-06,100,100,150,350,0.0
6e-06,100,100,150,350,0.0
7e-06,100,100,150,350,0.0
8e-06,100,100,150,350,0.0
9e-06,100,100,150,350,0.0
1e-05,100,100,150,350,0.0
1.1e-05,100,100,150,350,0.0
1.2e-05,100,100,150,350,0.0
1.3e-05,100,100,150,350,0.0
1.4e-05,100,100,150,350,0.0
1.5e-05,100,100,150,350,0.0
1.6e-05,100,100,150,350,0.0
1.7e-05,100,100,150,350,0.0
1.8e-05,100,100,150,350,0.0
1.9e-05,100,100,150,350,0.0
2e-05,100,100,150,350,0.0
2.1e-05,100,100,150,350,0.0
2.2e-05,100,100,150,350,0.0
2.3e-05,100,100,150,350,0.0
2.4e-05,100,100,150,350,0.0
2.5e-05,100,100,150,350,0.0
2.6e-05,100,100,150,350,0.0
2.7e-05,100,100,150,350,0.0
2.8e-05,100,100,150,350,0.0
2.9e-05,100,100,150,350,0.0
3e-05,100,100,150,350,0.0
3.1e-05,100,100,150,350,0.0
3.2e-05,100,100,150,350,0.0
3.3e-05,100,100,150,350,0.0
3.4e-05,100,100,150,350,0.0
3.5e-05,100,100,150,350,0.0
3.6e-05,101,100,150,351,0.0
3.7e-05,101,100,150,351,0.0
3.8e-05,101,100,150,351,0.0
3.9e-05,101,100,150,351,0.0
4e-05,101,100,150,351,0.0
4.1e-05,101,100,150,351,0.0
4.2e-05,101,100,150,351,0.0
4.3e-05,101,100,150,351,0.0
4.4e-05,101,100,150,351,0.0
4.5e-05,101,100,150,351,0.0
4.6e-05,101,100,149,350,0.0
4.7e-05,101,100,149,350,0.0
4.8e-05,101,100,149,350,0.0
4.9e-05,101,100,149,350,0.0
5e-05,101,100,149,350,0.0
5.1e-05,101,101,149,351,0.001
5.2e-05,101,101,149,351,0.001
5.3e-05,101,101,149,351,0.001
5.4e-05,101,101,149,351,0.001
5.5e-05,101,101,149,351,0.001
5.6e-05,101,101,149,351,0.001
5.7e-05,101,101,149,351,0.001
5.8e-05,101,101,149,351,0.001
5.9e-05,101,101,149,351,0.001
6e-05,101,101,149,351,0.001
6.1e-05,101,101,149,351,0.001
6.2e-05,101,101,149,351,0.001
6.3e-05,101,101,149,351,0.001
6.4e-05,101,101,149,351,0.001
6.5e-05,101,101,149,351,0.001
6.6e-05,101,101,149,351,0.001
6.7e-05,101,101,149,351,0.001
6.8e-05,101,101,149,351,0.001
6.9e-05,101,101,149,351,0.001
7e-05,101,101,149,351,0.001
7.1e-05,101,101,149,351,0.001
7.2e-05,101,101,149,351,0.001
7.3e-05,101,101,149,351,0.001
7.4e-05,101,101,149,351,0.001
7.5e-05,101,101,149,351,0.001
7.6e-05,101,101,149,351,0.001
7.7e-05,101,101,149,351,0.001
7.8e-05,101,101,149,351,0.001
7.9e-05,101,101,149,351,0.001
8e-05,101,101,149,351,0.001
8.1e-05,101,101,149,351,0.001
8.2e-05,101,101,149,351,0.001
8.3e-05,101,101,149,351,0.001
8.4e-05,101,101,149,351,0.001
8.5e-05,101,101,149,351,0.001
8.6e-05,101,101,149,351,0.001
8.7e-05,101,101,149,351,0.001
8.8e-05,101,101,149,351,0.001
8.9e-05,101,101,149,351,0.001
9e-05,101,101,149,351,0.001
9.1e-05,101,101,149,351,0.001
9.2e-05,101,101,149,351,0.001
9.3e-05,101,101,149,351,0.001
9.4e-05,101,101,149,351,0.001
9.5e-05,101,101,149,351,0.001
9.6e-05,101,101,149,351,0.001
9.7e-05,101,101,149,351,0.001
9.8e-05,101,101,149,351,0.001
9.9e-05,101,101,149,351,0.001
0.0001,101,101,149,351,0.001
0.000101,101,101,149,351,0.001
0.000102,101,101,149,351,0.001
0.000103,101,101,149,351,0.001
0.000104,101,101,149,351,0.001
0.000105,101,101,149,351,0.001
0.000106,101,101,149,351,0.001
0.000107,101,101,149,351,0.001
0.000108,102,101,149,352,0.001
0.000109,102,101,149,352,0.001
0.00011,102,101,149,352,0.001
0.000111,102,101,149,352,0.001
0.000112,102,101,149,352,0.001
0.000113,102,101,149,352,0.001
0.000114,102,101,149,352,0.001
0.000115,102,101,149,352,0.001
0.000116,102,101,149,352,0.001
0.000117,102,101,149,352,0.001
0.000118,102,101,149,352,0.001
0.000119,102,101,149,352,0.001
0.00012,102,101,149,352,0.001
0.000121,102,101,149,352,0.001
0.000122,102,101,149,352,0.001
0.000123,102,101,149,352,0.001
0.000124,102,101,149,352,0.001
0.000125,102,101,149,352,0.001
0.000126,102,101,149,352,0.001
0.000127,102,101,149,352,0.001
0.000128,102,101,149,352,0.001
0.000129,102,101,149,352,0.001
0.00013,102,101,149,352,0.001
0.000131,102,101,149,352,0.001
0.000132,102,101,149,352,0.001
0.000133,102,101,149,352,0.001
0.000134,102,101,149,352,0.001
0.000135,102,101,149,352,0.001
0.000136,102,101,149,352,0.001
0.000137,102,101,148,351,0.001
0.000138,102,101,148,351,0.001
0.000139,102,101,148,351,0.001
0.00014,102,101,148,351,0.001
0.000141,102,101,148,351,0.001
0.000142,102,101,148,351,0.001
0.000143,102,101,148,351,0.001
0.000144,102,101,148,351,0.001
0.000145,102,101,148,351,0.001
0.000146,102,101,148,351,0.001
0.000147,102,101,148,351,0.001
0.000148,102,101,148,351,0.001
0.000149,102,101,148,351,0.001
0.00015,102,102,148,352,0.001
0.000151,102,102,148,352,0.002
0.000152,102,102,148,352,0.002
0.000153,102,102,148,352,0.002
0.000154,102,102,148,352,0.002
0.000155,102,102,148,352,0.002
0.000156,102,102,148,352,0.002
0.000157,102,102,148,352,0.002
0.000158,102,102,148,352,0.002
0.000159,102,102,148,352,0.002
0.00016,102,102,148,352,0.002
0.000161,102,102,148,352,0.002
0.000162,102,102,148,352,0.002
0.000163,102,102,148,352,0.002
0.000164,102,102,148,352,0.002
0.000165,102,102,148,352,0.002
0.000166,102,102,148,352,0.002
0.000167,102,102,148,352,0.002
0.000168,102,102,148,352,0.002
0.000169,102,102,148,352,0.002
0.00017,102,102,148,352,0.002
0.000171,102,102,148,352,0.002
0.000172,102,102,148,352,0.002
0.000173,102,102,148,352,0.002
0.000174,102,102,148,352,0.002
0.000175,102,102,148,352,0.002
0.000176,102,102,148,352,0.002
0.000177,102,102,148,352,0.002
0.000178,102,102,148,352,0.002
0.000179,103,102,148,353,0.002
0.00018,103,102,148,353,0.002
0.000181,103,102,148,353,0.002
0.000182,103,102,148,353,0.002
0.000183,103,102,148,353,0.002
0.000184,103,102,148,353,0.002
0.000185,103,102,148,353,0.002
0.000186,103,102,148,353,0.002
0.000187,103,102,148,353,0.002
0.000188,103,102,148,353,0.002
0.000189,103,102,148,353,0.002
0.00019,103,102,148,353,0.002
0.000191,103,102,148,353,0.002
0.000192,103,102,148,353,0.002
0.000193,103,102,148,353,0.002
0.000194,103,102,148,353,0.002
0.000195,103,102,148,353,0.002
0.000196,103,102,148,353,0.002
0.000197,103,102,148,353,0.002
0.000198,103,102,148,353,0.002
0.000199,103,102,148,353,0.002
0.0002,103,102,148,353,0.002
0.000201,103,102,148,353,0.002
0.000202,103,102,148,353,0.002
0.000203,103,102,148,353,0.002
0.000204,103,102,148,353,0.002
0.000205,103,102,148,353,0.002
0.000206,103,102,148,353,0.002
0.000207,103,102,148,353,0.002
0.000208,103,102,148,353,0.002
0.000209,103,102,148,353,0.002
0.00021,103,102,148,353,0.002
0.000211,103,102,148,353,0.002
0.000212,103,102,148,353,0.002
0.000213,103,102,148,353,0.002
0.000214,103,102,148,353,0.002
0.000215,103,102,148,353,0.002
0.000216,103,102,148,353,0.002
0.000217,103,102,148,353,0.002
0.000218,103,102,148,353,0.002
0.000219,103,102,148,353,0.002
0.00022,103,102,148,353,0.002
0.000221,103,102,148,353,0.002
0.000222,103,102,148,353,0.002
0.000223,103,102,148,353,0.002
0.000224,103,102,148,353,0.002
0.000225,103,102,148,353,0.002
0.000226,103,102,148,353,0.002
0.000227,103,102,148,353,0.002
0.000228,103,102,147,352,0.002
0.000229,103,102,147,352,0.002
0.00023,103,102,147,352,0.002
0.000231,103,102,147,352,0.002
0.000232,103,102,147,352,0.002
0.000233,103,102,147,352,0.002
0.000234,103,102,147,352,0.002
0.000235,103,102,147,352,0.002
0.000236,103,102,147,352,0.002
0.000237,103,102,147,352,0.002
0.000238,103,102,147,352,0.002
0.000239,103,102,147,352,0.002
0.00024,103,102,147,352,0.002
0.000241,103,102,147,352,0.002
0.000242,103,102,147,352,0.002
