Mercury (mg/L),Red Value,Green Value,Blue Value,Orange Intensity,Absorbance
0.0,90,120,130,340,0.0
1e-06,90,120,130,340,0.0
2e-06,90,120,130,340,0.0
3e-06,90,120,130,340,0.0
4e-06,90,120,130,340,0.0
5e-06,90,120,130,340,0.0
6e-06,90,120,130,340,0.0
7e-06,90,120,130,340,0.0
8e-06,90,120,130,340,0.0
9e-06,90,120,130,340,0.0
1e-05,90,120,130,340,0.0
1.1e-05,90,120,130,340,0.0
1.2e-05,90,120,130,340,0.0
1.3e-05,90,120,130,340,0.0
1.4e-05,90,120,130,340,0.0
1.5e-05,90,120,130,340,0.0
1.6e-05,90,120,130,340,0.0
1.7e-05,90,120,130,340,0.0
1.8e-05,90,120,130,340,0.0
1.9e-05,90,120,130,340,0.0
2e-05,90,120,130,340,0.0
2.1e-05,90,120,130,340,0.0
2.2e-05,90,120,130,340,0.0
2.3e-05,90,120,130,340,0.0
2.4e-05,91,120,130,341,0.0
2.5e-05,91,120,130,341,0.0
2.6e-05,91,120,130,341,0.001
2.7e-05,91,120,130,341,0.001
2.8e-05,91,120,130,341,0.001
2.9e-05,91,120,130,341,0.001
3e-05,91,120,130,341,0.001
3.1e-05,91,120,130,341,0.001
3.2e-05,91,120,130,341,0.001
3.3e-05,91,120,130,341,0.001
3.4e-05,91,120,129,340,0.001
3.5e-05,91,120,129,340,0.001
3.6e-05,91,120,129,340,0.001
3.7e-05,91,120,129,340,0.001
3.8e-05,91,120,129,340,0.001
3.9e-05,91,120,129,340,0.001
4e-05,91,120,129,340,0.001
4.1e-05,91,120,129,340,0.001
4.2e-05,91,120,129,340,0.001
4.3e-05,91,120,129,340,0.001
4.4e-05,91,120,129,340,0.001
4.5e-05,91,120,129,340,0.001
4.6e-05,91,120,129,340,0.001
4.7e-05,91,120,129,340,0.001
4.8e-05,91,120,129,340,0.001
4.9e-05,91,120,129,340,0.001
5e-05,91,120,129,340,0.001
5.1e-05,91,120,129,340,0.001
5.2e-05,91,120,129,340,0.001
5.3e-05,91,120,129,340,0.001
5.4e-05,91,120,129,340,0.001
5.5e-05,91,120,129,340,0.001
5.6e-05,91,120,129,340,0.001
5.7e-05,91,120,129,340,0.001
5.8e-05,91,120,129,340,0.001
5.9e-05,91,120,129,340,0.001
6e-05,91,120,129,340,0.001
6.1e-05,91,119,129,339,0.001
6.2e-05,91,119,129,339,0.001
6.3e-05,91,119,129,339,0.001
6.4e-05,91,119,129,339,0.001
6.5e-05,91,119,129,339,0.001
6.6e-05,91,119,129,339,0.001
6.7e-05,91,119,129,339,0.001
6.8e-05,91,119,129,339,0.001
6.9e-05,91,119,129,339,0.001
7e-05,92,119,129,340,0.001
7.1e-05,92,119,129,340,0.001
7.2e-05,92,119,129,340,0.001
7.3e-05,92,119,129,340,0.001
7.4e-05,92,119,129,340,0.001
7.5e-05,92,119,129,340,0.001
7.6e-05,92,119,129,340,0.002
7.7e-05,92,119,129,340,0.002
7.8e-05,92,119,129,340,0.002
7.9e-05,92,119,129,340,0.002
8e-05,92,119,129,340,0.002
8.1e-05,92,119,129,340,0.002
8.2e-05,92,119,129,340,0.002
8.3e-05,92,119,129,340,0.002
8.4e-05,92,119,129,340,0.002
8.5e-05,92,119,129,340,0.002
8.6e-05,92,119,129,340,0.002
8.7e-05,92,119,129,340,0.002
8.8e-05,92,119,129,340,0.002
8.9e-05,92,119,129,340,0.002
9e-05,92,119,129,340,0.002
9.1e-05,92,119,129,340,0.002
9.2e-05,92,119,129,340,0.002
9.3e-05,92,119,129,340,0.002
9.4e-05,92,119,129,340,0.002
9.5e-05,92,119,129,340,0.002
9.6e-05,92,119,129,340,0.002
9.7e-05,92,119,129,340,0.002
9.8e-05,92,119,129,340,0.002
9.9e-05,92,119,129,340,0.002
0.0001,92,119,129,340,0.002
0.000101,92,119,128,339,0.002
0.000102,92,119,128,339,0.002
0.000103,92,119,128,339,0.002
0.000104,92,119,128,339,0.002
0.000105,92,119,128,339,0.002
0.000106,92,119,128,339,0.002
0.000107,92,119,128,339,0.002
0.000108,92,119,128,339,0.002
0.000109,92,119,128,339,0.002
0.00011,92,119,128,339,0.002
0.000111,92,119,128,339,0.002
0.000112,92,119,128,339,0.002
0.000113,92,119,128,339,0.002
0.000114,92,119,128,339,0.002
0.000115,92,119,128,339,0.002
0.000116,93,119,128,340,0.002
0.000117,93,119,128,340,0.002
0.000118,93,119,128,340,0.002
0.000119,93,119,128,340,0.002
0.00012,93,119,128,340,0.002
0.000121,93,119,128,340,0.002
0.000122,93,119,128,340,0.002
0.000123,93,119,128,340,0.002
0.000124,93,119,128,340,0.002
